file,proposed_boxes,annotated
044a5bd3e7bb.jpg,5,no
064faa9f5dda.jpg,18,no
06c562f79b32.jpg,9,no
0aee2a3ec6b8.jpg,9,no
0f8174f858bb.jpg,4,no
14f49320e522.jpg,11,no
1a8f036e1af2.jpg,15,no
1f7c476dfbde.jpg,10,no
235da49e9472.jpg,2,no
263584671817.jpg,20,no
2e43bb2c6011.jpg,4,no
32ef5d2b136d.jpg,4,no
376039aded0a.jpg,7,no
38c3a250ec24.jpg,2,no
40540aef7944.jpg,4,no
420cf9d270b4.jpg,10,no
4483caf90590.jpg,20,no
44f80943e33a.jpg,11,no
45ae2eb2c8d8.jpg,12,no
4adacfeaae03.jpg,6,no
53f5dc8be830.jpg,2,no
602dd976bdad.jpg,14,no
67d7745e02bd.jpg,3,no
6c48b3b78e33.jpg,2,no
78b27dd81685.jpg,19,no
8ff63ff49188.jpg,22,no
931c5fe453c6.jpg,16,no
94b5d0dea3d4.jpg,2,no
9b98f69cf155.jpg,3,no
9c917a8dc17b.jpg,16,no
a05be3a45fba.jpg,2,no
a4b69ed7ff8d.jpg,2,no
a4db8cc75a0c.jpg,6,no
a616c72f8011.jpg,19,no
a663c42087ac.jpg,5,no
a899944a9e83.jpg,4,no
ac730e8ebf51.jpg,6,no
b37557a83faf.jpg,12,no
b4c060812858.jpg,13,no
b5a98afce19f.jpg,8,no
b89c64482366.jpg,6,no
bb98f0f1312f.jpg,4,no
be1affd7ea3c.jpg,5,no
bf82580e8e7f.jpg,8,no
c5d7a8e264f8.jpg,6,no
cd121c6e9596.jpg,17,no
d34edd742589.jpg,8,no
d47330ae3c90.jpg,7,no
dd07aa00d0c2.jpg,10,no
e6760796dcb1.jpg,8,no
e6c163bbfbf1.jpg,14,no
ea05610c27e3.jpg,17,no
ea7cea4e0f15.jpg,8,no
f38bba154ab1.jpg,18,no
f4f423098942.jpg,18,no
ffa4497692a3.jpg,12,no
