slug,name,file,title,creator,license,license_url,landing_url
alexander,Alexander,alexander.jpg,File:Alexander Cocktail.png,Bruce The Deus,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Alexander_Cocktail.png
americano,Americano,americano.jpg,File:Americano cocktail at Nightwood Restaurant.jpg,Conrad and Peter,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Americano_cocktail_at_Nightwood_Restaurant.jpg
angel-face,Angel Face,angel-face.jpg,File:IBA Cocktail Angel Face (28068833805).jpg,"Michael Styne from Averill Park, NY, USA",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:IBA_Cocktail_Angel_Face_(28068833805).jpg
aviation,Aviation,aviation.jpg,File:Aviation Cocktail.jpg,Bskinner112 at English Wikipedia,Public domain,,https://commons.wikimedia.org/wiki/File:Aviation_Cocktail.jpg
bees-knees,Bee’s Knees,bees-knees.jpg,File:Bee's Knees.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Bee%27s_Knees.jpg
bellini,Bellini,bellini.jpg,"File:Bellini Cipriani, Macaroni Grill, Dunwoody GA.jpg",John Phelan,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,"https://commons.wikimedia.org/wiki/File:Bellini_Cipriani,_Macaroni_Grill,_Dunwoody_GA.jpg"
between-the-sheets,Between the Sheets,between-the-sheets.jpg,File:Between The Sheets Cocktail.jpg,Zach,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Between_The_Sheets_Cocktail.jpg
black-russian,Black Russian,black-russian.jpg,File:Black Russian.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Black_Russian.jpg
bloody-mary,Bloody Mary,bloody-mary.jpg,File:Bloody Mary Coctail with celery stalk - Evan Swigart.jpg,"Evan Swigart from Chicago, USA",CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Bloody_Mary_Coctail_with_celery_stalk_-_Evan_Swigart.jpg
boulevardier,Boulevardier,boulevardier.jpg,File:VTR Happy Hour - Boulevardier.jpg,Edsel Little,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:VTR_Happy_Hour_-_Boulevardier.jpg
brandy-crusta,Brandy Crusta,brandy-crusta.jpg,File:Thomas 1862 no. 116 Brandy crusta recipe.jpg,Jerry Thomas,Public domain,,https://commons.wikimedia.org/wiki/File:Thomas_1862_no._116_Brandy_crusta_recipe.jpg
caipirinha,Caipirinha,caipirinha.jpg,File:Cocktail Caipirinha raw.jpg,Christian,Public domain,,https://commons.wikimedia.org/wiki/File:Cocktail_Caipirinha_raw.jpg
canchanchara,Canchanchara,canchanchara.jpg,File:Canchanchara.jpg,Miriam Gómez Blanes,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Canchanchara.jpg
cardinale,Cardinale,cardinale.jpg,File:Ca' Rezzonico - Ritratto del cardinale Federico Corner - Bernardo Strozzi.jpg,Didier Descouens,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Ca%27_Rezzonico_-_Ritratto_del_cardinale_Federico_Corner_-_Bernardo_Strozzi.jpg
casino,Casino,casino.jpg,File:Casino Cocktail (9120690108).jpg,"Adrian Scottow from London, England",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Casino_Cocktail_(9120690108).jpg
champagne-cocktail,Champagne Cocktail,champagne-cocktail.jpg,"File:Champagne cocktail - Portal, Clerkenwell, London (4356768748) (cropped).jpg","Ewan Munro from London, UK",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"https://commons.wikimedia.org/wiki/File:Champagne_cocktail_-_Portal,_Clerkenwell,_London_(4356768748)_(cropped).jpg"
chartreuse-swizzle,Chartreuse Swizzle,chartreuse-swizzle.jpg,File:Chartreuse swizzle.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Chartreuse_swizzle.jpg
clover-club,Clover Club,clover-club.jpg,File:Clover Club.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Clover_Club.jpg
corpse-reviver-2,Corpse Reviver #2,corpse-reviver-2.jpg,File:Corpse Reviver 2.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Corpse_Reviver_2.jpg
cosmopolitan,Cosmopolitan,cosmopolitan.jpg,File:Cosmopolitan cocktail ingredients.png,GeoO,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Cosmopolitan_cocktail_ingredients.png
daiquiri,Daiquiri,daiquiri.jpg,File:Classic Daiquiri in Cocktail Glass.jpg,Will Shenton,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Classic_Daiquiri_in_Cocktail_Glass.jpg
dark-n-stormy,Dark ‘N’ Stormy,dark-n-stormy.jpg,File:The darker drink (IA darkerdrink00andr).pdf,"Andrews, Marietta Minnigerode, 1869-1931",Public domain,,https://commons.wikimedia.org/wiki/File:The_darker_drink_(IA_darkerdrink00andr).pdf
dry-martini,Dry Martini,dry-martini.jpg,File:Dry Martini-2.jpg,"Dry_Martini.jpg: Original uploader was Hayford Peirce at en.wikipedia
derivative work: Sigmundausfaller (talk)",Public domain,,https://commons.wikimedia.org/wiki/File:Dry_Martini-2.jpg
espresso-martini,Espresso Martini,espresso-martini.jpg,File:Cóctel de café en copa martini 2.jpg,Rjcastillo,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:C%C3%B3ctel_de_caf%C3%A9_en_copa_martini_2.jpg
fernandito,Fernandito,fernandito.jpg,File:Fernandito - El Gráfico 937.jpg,El Gráfico,Public domain,,https://commons.wikimedia.org/wiki/File:Fernandito_-_El_Gr%C3%A1fico_937.jpg
french-75,French 75,french-75.jpg,File:French 75.jpg,https://www.flickr.com/people/garyjwood/,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:French_75.jpg
french-connection,French Connection,french-connection.jpg,File:French Connection (cocktail).jpg,Arnaud 25,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:French_Connection_(cocktail).jpg
gin-basil-smash,Gin Basil Smash,gin-basil-smash.jpg,File:Gin Basil Smash.jpg,Erich Wagner (www.eventografie.de),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,https://commons.wikimedia.org/wiki/File:Gin_Basil_Smash.jpg
gin-fizz,Gin Fizz,gin-fizz.jpg,File:Ramos Gin Fizz at The Sazerac Bar.jpg,AGnias47,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Ramos_Gin_Fizz_at_The_Sazerac_Bar.jpg
grand-margarita,Grand Margarita,grand-margarita.jpg,File:Damiana Margarita Ingredients (2336632792).jpg,Ryan Snyder,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,https://commons.wikimedia.org/wiki/File:Damiana_Margarita_Ingredients_(2336632792).jpg
grasshopper,Grasshopper,grasshopper.jpg,File:Grasshopper cocktail.jpg,TexasDex,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Grasshopper_cocktail.jpg
hanky-panky,Hanky Panky,hanky-panky.jpg,File:Hanky Panky cocktail.jpg,"Tim Sackton from Somerville, MA",CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,https://commons.wikimedia.org/wiki/File:Hanky_Panky_cocktail.jpg
hemingway-special,Hemingway Special,hemingway-special.jpg,File:Hemingway Daiquiri.jpg,Achim Schleuning (E-Mail: comander02_de@yahoo.de),CC BY-SA 3.0 de,https://creativecommons.org/licenses/by-sa/3.0/de/deed.en,https://commons.wikimedia.org/wiki/File:Hemingway_Daiquiri.jpg
horses-neck,Horse’s Neck,horses-neck.jpg,File:Horse's Neck cocktail.jpg,Plume.janvier,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,https://commons.wikimedia.org/wiki/File:Horse%27s_Neck_cocktail.jpg
iba-tiki,IBA Tiki,iba-tiki.jpg,File:IBA Tiki at Civil Liberties in Toronto.jpg,Adanicklmao,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,https://commons.wikimedia.org/wiki/File:IBA_Tiki_at_Civil_Liberties_in_Toronto.jpg
illegal,Illegal,illegal.jpg,File:Illegal cocktail.jpg,BanjoZebra,CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://commons.wikimedia.org/wiki/File:Illegal_cocktail.jpg
